transaction_id,customer_id,transaction_date,transaction_time,transaction_type,amount,currency,merchant_category,merchant_name,account_type,branch_code,status,balance_after,channel,is_fraud
TXN000001,CUS00015,2024-03-12,23:06:43,Top-up,1299.29,THB,Food & Beverage,KFC Thailand,Savings,SKT001,Failed,16859.56,Mobile Banking,0
TXN000002,CUS00036,2024-04-11,22:41:44,Bill Payment,11671.41,THB,Healthcare,Pahon Polpayat Hospital,Current,NBI001,Completed,404905.8,Mobile Banking,0
TXN000003,CUS00010,2024-04-20,10:06:05,Online Payment,34922.06,THB,Fuel,PTT Station,Fixed Deposit,KKN001,Completed,403757.01,Branch,0
TXN000004,CUS00006,2024-10-09,09:53:40,Bill Payment,6285.07,THB,Insurance,Krungthai-AXA,Current,BKK002,Completed,330970.4,ATM,0
TXN000005,CUS00030,2024-11-21,11:10:23,ATM Withdrawal,42773.12,THB,Food & Beverage,Starbucks TH,Fixed Deposit,BKK002,Completed,267535.8,Internet Banking,0
TXN000006,CUS00041,2024-12-18,17:14:43,ATM Withdrawal,23139.9,THB,Fuel,PTT Station,Current,BKK001,Pending,201181.23,Mobile Banking,0
TXN000007,CUS00014,2024-12-01,15:25:56,Top-up,45661.15,THB,Healthcare,Pahon Polpayat Hospital,Current,CNX001,Completed,124067.13,POS,0
TXN000008,CUS00038,2024-07-23,11:14:08,Bill Payment,13173.94,THB,Insurance,Bangkok Life,Savings,BKK001,Completed,77267.82,Internet Banking,0
TXN000009,CUS00039,2024-08-27,16:16:35,Refund,29840.63,THB,Utilities,PEA Thailand,Savings,PTN001,Completed,384530.77,ATM,0
TXN000010,CUS00001,2024-05-14,16:48:11,Bill Payment,14710.33,THB,Food & Beverage,McDonald's TH,Fixed Deposit,PTN001,Completed,77266.8,Internet Banking,0
TXN000011,CUS00039,2024-06-14,15:01:07,ATM Withdrawal,47677.31,THB,Insurance,Krungthai-AXA,Current,BKK001,Completed,439126.79,Mobile Banking,0
TXN000012,CUS00049,2024-09-29,04:08:42,Online Payment,36608.78,THB,Food & Beverage,KFC Thailand,Current,CNX001,Failed,482217.09,POS,0
TXN000013,CUS00043,2024-11-28,11:28:57,Bill Payment,35661.8,THB,Healthcare,Pahon Polpayat Hospital,Savings,CMI001,Completed,32948.92,Mobile Banking,0
TXN000014,CUS00001,2024-02-06,22:40:03,Transfer,27718.38,THB,E-commerce,Lazada TH,Savings,KKN001,Completed,257563.9,ATM,0
TXN000015,CUS00037,2024-10-22,15:15:50,Online Payment,10751.13,THB,Education,Chula Extension,Current,BKK002,Completed,329832.39,ATM,0
TXN000016,CUS00004,2024-12-10,20:41:06,Purchase,20584.56,THB,Utilities,AIS,Fixed Deposit,BKK002,Completed,96603.45,POS,0
TXN000017,CUS00030,2024-05-07,02:28:51,Refund,7052.11,THB,Education,ABAC,Savings,BKK001,Completed,484529.13,Internet Banking,0
TXN000018,CUS00026,2024-01-31,05:24:00,Online Payment,20350.38,THB,Fuel,Caltex TH,Credit,CNX001,Failed,348599.16,POS,0
TXN000019,CUS00004,2024-10-23,23:34:03,Top-up,7782.1,THB,Education,NSTDA,Savings,BKK001,Reversed,251922.34,POS,0
TXN000020,CUS00012,2024-02-05,19:04:43,Refund,2891.14,THB,Fuel,Shell Thailand,Credit,BKK002,Completed,289880.61,Mobile Banking,0
TXN000021,CUS00037,2024-09-24,10:59:16,Transfer,4145.07,THB,E-commerce,JD Central,Current,CNX001,Failed,66308.26,ATM,0
TXN000022,CUS00005,2024-01-05,14:39:36,Purchase,15843.05,THB,Education,Coursera,Current,PTN001,Completed,67095.83,ATM,0
TXN000023,CUS00011,2024-08-12,17:45:19,Bill Payment,43969.55,THB,Food & Beverage,KFC Thailand,Savings,PTN001,Completed,465946.26,Mobile Banking,1
TXN000024,CUS00048,2024-10-10,04:17:18,Bill Payment,13260.07,THB,Fuel,Shell Thailand,Fixed Deposit,CMI001,Completed,253199.12,ATM,0
TXN000025,CUS00018,2024-01-23,00:21:49,Transfer,4660.31,THB,Retail,Robinson,Current,NBI001,Failed,280892.53,Mobile Banking,0
TXN000026,CUS00003,2024-07-08,18:35:09,Online Payment,47255.29,THB,Food & Beverage,Starbucks TH,Savings,CNX001,Pending,449591.76,Mobile Banking,0
TXN000027,CUS00007,2024-06-30,17:56:55,Online Payment,10543.32,THB,Entertainment,Netflix TH,Current,CMI001,Completed,488126.81,Internet Banking,0
TXN000028,CUS00022,2024-07-29,21:55:47,Refund,1288.08,THB,Utilities,MEA Bangkok,Fixed Deposit,BKK003,Completed,191888.32,Mobile Banking,0
TXN000029,CUS00030,2024-06-28,09:52:50,Refund,11160.56,THB,Education,Udemy,Current,BKK001,Completed,199834.52,ATM,0
