order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,order_date,delivery_date,region,sales_rep,channel,payment_method,status
ORD00001,CUS00007,TR002,Data Analytics,Training,7,18000,15,107100.0,2024-02-07,2024-10-02,Bangkok,อรนุช พานิช,Tender,Bank Transfer,Cancelled
ORD00002,CUS00054,HW001,Laptop i7,Hardware,2,35000,5,66500.0,2024-02-05,2024-05-04,Bangkok,สุนิสา แก้วมณี,Referral,Bank Transfer,Cancelled
ORD00003,CUS00074,SW002,Power BI Pro,Software,10,8500,0,85000.0,2024-10-26,2024-07-23,Bangkok,นิรมล ศรีสุข,Direct Sales,E-Wallet,Completed
ORD00004,CUS00016,TR004,SQL Workshop,Training,3,9000,10,24300.0,2024-10-19,2024-06-07,South,วิชัย มนัสพร,Direct Sales,E-Wallet,Cancelled
ORD00005,CUS00009,HW003,Mechanical Keyboard,Hardware,2,3200,10,5760.0,2024-10-15,2024-02-01,South,นิรมล ศรีสุข,Referral,E-Wallet,Pending
ORD00006,CUS00047,TR004,SQL Workshop,Training,10,9000,5,85500.0,2024-06-02,2024-05-08,West,วิชัย มนัสพร,Online,Bank Transfer,Cancelled
ORD00007,CUS00058,TR005,BI Dashboard,Training,8,12000,0,96000.0,2024-05-27,2024-11-08,Bangkok,กานดา รักไทย,Tender,Cash,Completed
ORD00008,CUS00006,TR002,Data Analytics,Training,8,18000,5,136800.0,2024-12-08,2024-02-10,West,สุนิสา แก้วมณี,Tender,Cheque,Completed
ORD00009,CUS00059,TR005,BI Dashboard,Training,8,12000,10,86400.0,2024-02-05,2024-02-18,North,วัลลภ เพ็ชรดี,Direct Sales,Bank Transfer,Completed
ORD00010,CUS00050,SB004,CRM Platform,Subscription,5,7200,15,30600.0,2024-12-08,2024-06-27,Bangkok,วัลลภ เพ็ชรดี,Partner,Credit Card,Cancelled
ORD00011,CUS00037,SW004,Excel Advanced,Software,1,3500,0,3500.0,2024-03-07,2024-05-07,Northeast,ธนกร ใจดี,Referral,Bank Transfer,Completed
ORD00012,CUS00018,CS004,Risk Analysis,Consulting,9,60000,0,540000.0,2024-08-08,2024-10-09,North,ธนกร ใจดี,Partner,Cash,Completed
ORD00013,CUS00030,HW001,Laptop i7,Hardware,3,35000,0,105000.0,2024-12-03,2024-04-30,Bangkok,วัลลภ เพ็ชรดี,Tender,Credit Card,Completed
ORD00014,CUS00069,TR001,ML Bootcamp,Training,3,25000,5,71250.0,2024-07-08,2024-11-09,South,อรนุช พานิช,Online,E-Wallet,Cancelled
ORD00015,CUS00051,SW004,Excel Advanced,Software,9,3500,5,29925.0,2024-07-23,2024-07-21,Bangkok,วัลลภ เพ็ชรดี,Referral,Bank Transfer,Completed
ORD00016,CUS00015,SW002,Power BI Pro,Software,8,8500,0,68000.0,2024-06-23,2024-11-04,Bangkok,กานดา รักไทย,Direct Sales,E-Wallet,Completed
ORD00017,CUS00004,SB001,Cloud Storage,Subscription,6,1200,10,6480.0,2024-02-06,2024-04-17,South,ธนกร ใจดี,Online,Cheque,Completed
ORD00018,CUS00015,SB003,BI SaaS,Subscription,8,5400,0,43200.0,2024-09-06,2024-08-27,Northeast,วัลลภ เพ็ชรดี,Partner,Bank Transfer,Completed
ORD00019,CUS00021,SW003,Tableau Desktop,Software,5,15000,5,71250.0,2024-09-21,2024-01-13,Central,สุนิสา แก้วมณี,Partner,Credit Card,Cancelled
ORD00020,CUS00012,SW005,Python Training,Software,5,5000,15,21250.0,2024-12-22,2024-05-14,South,อรนุช พานิช,Online,Cheque,Completed
ORD00021,CUS00029,SB005,HR System,Subscription,9,9600,0,86400.0,2024-11-09,2024-04-10,West,นิรมล ศรีสุข,Referral,Credit Card,Completed
ORD00022,CUS00004,SB004,CRM Platform,Subscription,6,7200,15,36720.0,2024-01-15,2024-05-24,Northeast,ประเสริฐ ทองดี,Online,E-Wallet,Completed
ORD00023,CUS00029,CS003,Process Audit,Consulting,6,45000,0,270000.0,2024-02-22,2024-04-27,Northeast,นิรมล ศรีสุข,Partner,Credit Card,Pending
ORD00024,CUS00045,SB005,HR System,Subscription,1,9600,5,9120.0,2024-11-25,2024-02-14,West,กานดา รักไทย,Referral,Credit Card,Pending
ORD00025,CUS00051,HW004,USB-C Hub,Hardware,6,1500,0,9000.0,2024-08-25,2024-07-25,East,กานดา รักไทย,Online,Credit Card,Completed
ORD00026,CUS00019,SW002,Power BI Pro,Software,10,8500,5,80750.0,2024-11-09,2024-11-02,Northeast,อรนุช พานิช,Online,E-Wallet,Cancelled
ORD00027,CUS00014,HW001,Laptop i7,Hardware,1,35000,20,28000.0,2024-09-26,2024-03-13,Northeast,นิรมล ศรีสุข,Online,Bank Transfer,Completed
ORD00028,CUS00076,HW003,Mechanical Keyboard,Hardware,9,3200,0,28800.0,2024-06-15,2024-05-13,South,ธนกร ใจดี,Online,Bank Transfer,Completed
ORD00029,CUS00065,CS005,Dashboard Design,Consulting,9,35000,5,299250.0,2024-03-07,2024-09-30,Central,สุนิสา แก้วมณี,Tender,Bank Transfer,Pending
